Time,kospi_price,lending,credit_long,credit_short,secured_loan,lending_gr,credit_long_gr,credit_short_gr,secured_loan_gr,kospi_price_gr
2008-12-22,1179.61,13913972510595,1218793000000,16000000,3259831000000,-0.0093,0.0197,0.0000,-0.0018,-0.0012
2008-12-23,1144.31,12023250983825,1217573000000,16000000,3273824000000,-0.1359,-0.0010,0.0000,0.0043,-0.0299
2008-12-24,1128.51,11562768657230,1233898000000,16000000,3175514000000,-0.0383,0.0134,0.0000,-0.0300,-0.0138
2008-12-26,1117.86,11391390712680,1235168000000,10000000,3274467000000,-0.0148,0.0010,-0.3750,0.0312,-0.0094
2008-12-29,1117.59,11136454648370,1236629000000,7000000,3287680000000,-0.0224,0.0012,-0.3000,0.0040,-0.0002
2008-12-30,1124.47,10393882734195,1219003000000,5000000,3305423000000,-0.0667,-0.0143,-0.2857,0.0054,0.0062
2009-01-02,1157.4,10963316801615,1195185000000,0,3268311000000,0.0548,-0.0195,0.0000,-0.0112,0.0293
2009-01-05,1173.57,12809405093450,1147489000000,0,3249548000000,0.1684,-0.0399,0.0000,-0.0057,0.0140
2009-01-06,1194.28,13156169550725,1172325000000,0,3231217000000,0.0271,0.0216,0.0000,-0.0056,0.0176
2009-01-07,1228.17,13733378872945,1167549000000,0,3205745000000,0.0439,-0.0041,0.0000,-0.0079,0.0284
2009-01-08,1205.7,13553761513335,1165253000000,0,3179957000000,-0.0131,-0.0020,0.0000,-0.0080,-0.0183
2009-01-09,1180.96,13331123978605,1161858000000,0,3161884000000,-0.0164,-0.0029,0.0000,-0.0057,-0.0205
2009-01-12,1156.75,12837534997370,1214963000000,0,3211251000000,-0.0370,0.0457,0.0000,0.0156,-0.0205
2009-01-13,1167.71,13079130648445,1238471000000,0,3228969000000,0.0188,0.0193,0.0000,0.0055,0.0095
2009-01-14,1182.68,13522931085220,1243588000000,0,3264419000000,0.0339,0.0041,0.0000,0.0110,0.0128
2009-01-15,1111.34,12530955489260,1288784000000,0,3267190000000,-0.0734,0.0363,0.0000,0.0008,-0.0603
2009-01-16,1135.2,12914557758675,1300988000000,0,3229600000000,0.0306,0.0095,0.0000,-0.0115,0.0215
2009-01-19,1150.65,13158605260155,1245722000000,0,3230278000000,0.0189,-0.0425,0.0000,0.0002,0.0136
2009-01-20,1126.81,13006303116890,1280762000000,0,3233505000000,-0.0116,0.0281,0.0000,0.0010,-0.0207
2009-01-21,1103.61,12743434324405,1288988000000,0,3241925000000,-0.0202,0.0064,0.0000,0.0026,-0.0206
2009-01-22,1116.23,12758674658805,1276915000000,0,3258170000000,0.0012,-0.0094,0.0000,0.0050,0.0114
2009-01-23,1093.4,12387102843075,1287520000000,0,3270232000000,-0.0291,0.0083,0.0000,0.0037,-0.0205
2009-01-28,1157.98,13390195931905,1304011000000,0,3270451000000,0.0810,0.0128,0.0000,0.0001,0.0591
2009-01-29,1166.56,13433829308535,1295265000000,0,3276938000000,0.0033,-0.0067,0.0000,0.0020,0.0074
2009-01-30,1162.11,13425623281980,1282240000000,0,3248534000000,-0.0006,-0.0101,0.0000,-0.0087,-0.0038
2009-02-02,1146.95,13111891234510,1232763000000,0,3234322000000,-0.0234,-0.0386,0.0000,-0.0044,-0.0130
2009-02-03,1163.2,13386450830575,1244175000000,0,3220472000000,0.0209,0.0093,0.0000,-0.0043,0.0142
2009-02-04,1195.37,13888751732160,1259604000000,0,3244278000000,0.0375,0.0124,0.0000,0.0074,0.0277
2009-02-05,1177.88,13614629411290,1285126000000,0,3230857000000,-0.0197,0.0203,0.0000,-0.0041,-0.0146
2009-02-06,1210.26,14040134505545,1291941000000,0,3217028000000,0.0313,0.0053,0.0000,-0.0043,0.0275
2009-02-09,1202.69,14344942654285,1277154000000,0,3218593000000,0.0217,-0.0114,0.0000,0.0005,-0.0063
2009-02-10,1198.87,14282138409785,1345372000000,0,3213670000000,-0.0044,0.0534,0.0000,-0.0015,-0.0032
2009-02-11,1190.18,14119088877390,1342830000000,0,3215661000000,-0.0114,-0.0019,0.0000,0.0006,-0.0072
2009-02-12,1179.84,13817226298380,1369256000000,0,3202508000000,-0.0214,0.0197,0.0000,-0.0041,-0.0087
2009-02-13,1192.44,14101070737445,1401675000000,0,3206103000000,0.0205,0.0237,0.0000,0.0011,0.0107
2009-02-16,1175.47,13790762401080,1439423000000,0,3211304000000,-0.0220,0.0269,0.0000,0.0016,-0.0142
2009-02-17,1127.19,13203000051585,1470637000000,0,3221615000000,-0.0426,0.0217,0.0000,0.0032,-0.0411
2009-02-18,1113.19,12979313186120,1472451000000,0,3231847000000,-0.0169,0.0012,0.0000,0.0032,-0.0124
2009-02-19,1107.1,12756085597070,1439703000000,0,3237436000000,-0.0172,-0.0222,0.0000,0.0017,-0.0055
2009-02-20,1065.95,12170063819520,1501457000000,0,3257121000000,-0.0459,0.0429,0.0000,0.0061,-0.0372
2009-02-23,1099.55,12717715130990,1521919000000,0,3273879000000,0.0450,0.0136,0.0000,0.0051,0.0315
2009-02-24,1063.88,12201803614645,1470900000000,0,3285439000000,-0.0406,-0.0335,0.0000,0.0035,-0.0324
2009-02-25,1067.08,12145510650190,1493851000000,0,3277097000000,-0.0046,0.0156,0.0000,-0.0025,0.0030
2009-02-26,1054.79,11806577881760,1480324000000,0,3237323000000,-0.0279,-0.0091,0.0000,-0.0121,-0.0115
2009-02-27,1063.03,12290457113820,1477999000000,0,3233456000000,0.0410,-0.0016,0.0000,-0.0012,0.0078
2009-03-02,1018.81,11791645405185,1463551000000,0,3234826000000,-0.0406,-0.0098,0.0000,0.0004,-0.0416
2009-03-03,1025.57,11477585286200,1448201000000,0,3227854000000,-0.0266,-0.0105,0.0000,-0.0022,0.0066
2009-03-04,1059.26,11856414226630,1436497000000,0,3229984000000,0.0330,-0.0081,0.0000,0.0007,0.0329
2009-03-05,1058.18,11832425401665,1431974000000,0,3216938000000,-0.0020,-0.0031,0.0000,-0.0040,-0.0010
2009-03-06,1055.03,11643895012740,1450377000000,0,3204725000000,-0.0159,0.0129,0.0000,-0.0038,-0.0030
2009-03-09,1071.73,11877181012475,1428567000000,0,3185378000000,0.0200,-0.0150,0.0000,-0.0060,0.0158
2009-03-10,1092.2,11924629093145,1464559000000,0,3182543000000,0.0040,0.0252,0.0000,-0.0009,0.0191
2009-03-11,1127.51,11648049071295,1459552000000,0,3177817000000,-0.0232,-0.0034,0.0000,-0.0015,0.0323
2009-03-12,1128.39,11704693081605,1472061000000,0,3166622000000,0.0049,0.0086,0.0000,-0.0035,0.0008
2009-03-13,1126.03,11835604989525,1430688000000,0,3147510000000,0.0112,-0.0281,0.0000,-0.0060,-0.0021
2009-03-16,1125.46,12142735956990,1403259000000,0,3172893000000,0.0259,-0.0192,0.0000,0.0081,-0.0005
2009-03-17,1163.88,12733021568890,1464510000000,0,3262066000000,0.0486,0.0436,0.0000,0.0281,0.0341
